instance,|R|,|T|,method,config,variables,clauses,timeout,status,objective,time,up,conflicts,gap
A-n32-k5,23,5,maxsat,AN,70598.0,595062.0,Yes,Feasible,57795,1457.03,12631977950,121209179,177.84%
A-n32-k5,23,5,maxsat,BDD,364987.0,1161555.0,Yes,Feasible,13133,3085.96,21149186515,98446559,1122.70%
A-n32-k5,23,5,maxsat,BM,457588.0,1067914.0,Yes,Feasible,35517,1459.36,14683722184,95994335,352.11%
A-n32-k5,23,5,mip,MIP,,,Yes,Feasible,124267*,3600.01,,,29.22%
A-n32-k5,23,5,maxsat,SN,837330.0,1360210.0,Yes,Unsolved,,0.00,16204989576,83177135,
A-n32-k5,23,5,maxsat,SWC,564317.0,2280555.0,Yes,Feasible,43098,13.60,19199854983,72740967,272.59%
A-n32-k5,31,6,maxsat,AN,74728.0,696915.0,Yes,Feasible,22099,1532.34,14136452494,131347451,856.46%
A-n32-k5,31,6,maxsat,BDD,434070.0,1383465.0,Yes,Unsolved,,0.00,21771399993,97578006,
A-n32-k5,31,6,maxsat,BM,540288.0,1264119.0,Yes,Feasible,23892,776.86,15701182043,92182886,784.68%
A-n32-k5,31,6,mip,MIP,,,Yes,Feasible,155384*,3600.00,,,36.03%
A-n32-k5,31,6,maxsat,SN,1009530.0,1623145.0,Yes,Unsolved,,0.00,16649578011,85197192,
A-n32-k5,31,6,maxsat,SWC,673010.0,2731711.0,Yes,Feasible,62554,1399.43,21268592881,73528861,237.90%
A-n32-k5,39,7,maxsat,AN,92334.0,860679.0,Yes,Unsolved,,0.00,15061536807,131639311,
A-n32-k5,39,7,maxsat,BDD,576286.0,1824716.0,Yes,Unsolved,,0.00,22720355559,100658386,
A-n32-k5,39,7,maxsat,BM,691776.0,1604739.0,Yes,Unsolved,,0.00,16387705948,95546485,
A-n32-k5,39,7,mip,MIP,,,Yes,Feasible,197602*,3600.01,,,38.37%
A-n32-k5,39,7,maxsat,SN,1292621.0,2067143.0,Yes,Unsolved,,0.00,17949245108,93187945,
A-n32-k5,39,7,maxsat,SWC,901928.0,3649757.0,Yes,Feasible,66854,439.67,22773132413,73004482,308.99%
A-n32-k5,46,9,maxsat,AN,117675.0,1100376.0,Yes,Unsolved,,0.00,16603959346,135269499,
A-n32-k5,46,9,maxsat,BDD,743220.0,2355525.0,Yes,Unsolved,,0.00,24089668116,101438219,
A-n32-k5,46,9,maxsat,BM,877692.0,2049258.0,Yes,Unsolved,,0.00,17710525064,101196899,
A-n32-k5,46,9,mip,MIP,,,Yes,Feasible,217648*,3600.01,,,50.02%
A-n32-k5,46,9,maxsat,SN,1651821.0,2644896.0,Yes,Unsolved,,0.00,18933916701,102728462,
A-n32-k5,46,9,maxsat,SWC,1172481.0,4742835.0,Yes,Unsolved,,0.00,25833208672,67304936,
